------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 38422 connected with 10.0.0.1 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 47.0000-48.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 48.0000-49.0000 sec  3.66 MBytes  30.7 Mbits/sec
[  1] 49.0000-50.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 50.0000-51.0000 sec  4.79 MBytes  40.2 Mbits/sec
[  1] 51.0000-52.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 52.0000-53.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 53.0000-54.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  1] 54.0000-55.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 55.0000-56.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 56.0000-57.0000 sec  4.10 MBytes  34.4 Mbits/sec
[  1] 57.0000-58.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 58.0000-59.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 59.0000-60.0000 sec  4.47 MBytes  37.5 Mbits/sec
[  1] 60.0000-61.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  1] 61.0000-62.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 62.0000-63.0000 sec  2.91 MBytes  24.5 Mbits/sec
[  1] 63.0000-64.0000 sec  4.23 MBytes  35.5 Mbits/sec
[  1] 64.0000-65.0000 sec  4.72 MBytes  39.6 Mbits/sec
[  1] 65.0000-66.0000 sec  3.42 MBytes  28.7 Mbits/sec
[  1] 66.0000-67.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 67.0000-68.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 68.0000-69.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 69.0000-70.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 70.0000-71.0000 sec  4.85 MBytes  40.7 Mbits/sec
[  1] 71.0000-72.0000 sec  3.73 MBytes  31.3 Mbits/sec
[  1] 72.0000-73.0000 sec  3.35 MBytes  28.1 Mbits/sec
[  1] 73.0000-74.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  1] 74.0000-75.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 75.0000-76.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 76.0000-77.0000 sec  4.54 MBytes  38.0 Mbits/sec
[  1] 77.0000-78.0000 sec  3.41 MBytes  28.6 Mbits/sec
[  1] 78.0000-79.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  1] 79.0000-80.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 80.0000-81.0000 sec  4.22 MBytes  35.4 Mbits/sec
[  1] 81.0000-82.0000 sec  3.29 MBytes  27.6 Mbits/sec
[  1] 82.0000-83.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 83.0000-84.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 84.0000-85.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 85.0000-86.0000 sec  4.16 MBytes  34.9 Mbits/sec
[  1] 86.0000-87.0000 sec  3.73 MBytes  31.3 Mbits/sec
[  1] 87.0000-88.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  1] 88.0000-89.0000 sec  2.55 MBytes  21.4 Mbits/sec
[  1] 89.0000-90.0000 sec  4.10 MBytes  34.4 Mbits/sec
[  1] 90.0000-91.0000 sec  5.16 MBytes  43.3 Mbits/sec
[  1] 91.0000-92.0000 sec  4.16 MBytes  34.9 Mbits/sec
[  1] 92.0000-93.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  1] 93.0000-94.0000 sec  4.98 MBytes  41.8 Mbits/sec
[  1] 94.0000-95.0000 sec  3.79 MBytes  31.8 Mbits/sec
[  1] 95.0000-96.0000 sec  4.23 MBytes  35.4 Mbits/sec
[  1] 96.0000-97.0000 sec  4.73 MBytes  39.6 Mbits/sec
[  1] 97.0000-98.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 98.0000-99.0000 sec  3.85 MBytes  32.3 Mbits/sec
[  1] 99.0000-100.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  1] 100.0000-101.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  1] 101.0000-102.0000 sec  3.85 MBytes  32.3 Mbits/sec
[  1] 102.0000-103.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 103.0000-104.0000 sec  4.48 MBytes  37.6 Mbits/sec
[  1] 104.0000-105.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 105.0000-106.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  1] 106.0000-107.0000 sec  4.42 MBytes  37.1 Mbits/sec
[  1] 107.0000-108.0000 sec  3.66 MBytes  30.7 Mbits/sec
[  1] 108.0000-109.0000 sec  3.61 MBytes  30.3 Mbits/sec
[  1] 109.0000-110.0000 sec  2.68 MBytes  22.5 Mbits/sec
[  1] 110.0000-111.0000 sec  3.85 MBytes  32.3 Mbits/sec
[  1] 111.0000-112.0000 sec  3.79 MBytes  31.8 Mbits/sec
[  1] 112.0000-113.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 113.0000-114.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 114.0000-115.0000 sec  4.35 MBytes  36.5 Mbits/sec
[  1] 115.0000-116.0000 sec  4.17 MBytes  34.9 Mbits/sec
[  1] 116.0000-117.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 117.0000-118.0000 sec  4.04 MBytes  33.9 Mbits/sec
[  1] 118.0000-119.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 119.0000-120.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 120.0000-123.7482 sec  51.9 KBytes   113 Kbits/sec
[  1] 0.0000-123.7482 sec   701 MBytes  47.5 Mbits/sec
